,x_mean,x_std,x_sum,x_median,y_mean,y_std,y_sum,y_median,z_mean,z_std,z_sum,z_median,Label
15,-160.33207547169812,8067.278813598649,-127464.0,-778.0,-1026.8503144654087,3384.4130438481575,-816346.0,-1163.0,-50.56477987421383,7333.044216962472,-40199.0,2147.0,1
16,-216.8314465408805,7724.63901395963,-172381.0,-1210.0,-1035.7245283018867,3970.445238100544,-823401.0,-1128.0,-57.34088050314465,7200.520267781154,-45586.0,1840.0,1
17,-297.2201257861635,7651.256949179346,-236290.0,-1120.0,-998.6842767295598,4084.1377681847575,-793954.0,-903.0,-67.43018867924528,7655.42944556769,-53607.0,1555.0,1
18,-357.23899371069183,7288.501743204443,-284005.0,-1682.0,-979.3974842767295,3903.6338206260107,-778621.0,-1020.0,-66.35094339622641,7793.592331174537,-52749.0,1296.0,1
19,-335.4754716981132,7289.454861937296,-266703.0,-1786.0,-1007.2666666666667,3622.7327358499447,-800777.0,-841.0,-14.267924528301887,7915.558001555227,-11343.0,1350.0,1
20,-388.3182389937107,7131.365182124178,-308713.0,-1928.0,-1006.2867924528302,3492.237751732237,-799998.0,-1065.0,-5.250314465408805,7944.841515047893,-4174.0,1311.0,1
21,-400.8716981132076,7005.907800345619,-318693.0,-2119.0,-1011.0075471698113,3373.523349685749,-803751.0,-958.0,-32.16981132075472,7874.053174704876,-25575.0,1456.0,1
22,-415.3823899371069,6793.8659670343095,-330229.0,-2096.0,-1034.8075471698114,3193.790622204595,-822672.0,-872.0,-27.908176100628932,8035.6073898492305,-22187.0,968.0,1
23,-478.89182389937105,6372.3599399993,-380719.0,-1446.0,-1051.2389937106918,2980.866419401642,-835735.0,-566.0,-21.79748427672956,8371.759604591603,-17329.0,64.0,1
24,-371.9685534591195,5997.568591129834,-295715.0,-761.0,-1008.0276729559748,2699.252784792594,-801382.0,-1015.0,-36.39496855345912,8211.64295329613,-28934.0,-206.0,1
25,-151.49811320754716,5548.689852935056,-120441.0,-245.0,-1000.514465408805,2209.7810281045586,-795409.0,-1329.0,-35.459119496855344,7264.048564913883,-28190.0,-659.0,1
26,-63.09685534591195,3928.512076209593,-50162.0,134.0,-994.6415094339623,1471.1047737852114,-790740.0,-1264.0,19.256603773584906,4867.552684159055,15309.0,-692.0,1
27,-39.84654088050314,2108.3430836286157,-31678.0,-417.0,-994.5547169811321,1669.0775519792878,-790671.0,-1268.0,3.9647798742138365,2026.4524725349766,3152.0,-115.0,1
28,-60.61635220125786,1528.4525166658082,-48190.0,-74.0,-993.0490566037736,1620.9233503364635,-789474.0,-1397.0,16.638993710691825,2506.3132149081384,13228.0,-27.0,1
29,-51.70817610062893,3588.9145005928062,-41108.0,538.0,-1017.5157232704403,2450.466073633142,-808925.0,-1184.0,-15.557232704402516,3666.2094492301685,-12368.0,-521.0,1
30,-186.9245283018868,7533.14064311538,-148605.0,-527.0,-667.6779874213836,4653.9566037921795,-530804.0,-425.0,-21.767295597484278,5736.878476343174,-17305.0,-107.0,1
31,-198.66792452830188,8941.209329558134,-157941.0,-169.0,-920.9509433962264,4596.819850384081,-732156.0,-1063.0,-34.68679245283019,6684.588482103983,-27576.0,-1100.0,1
32,2.5823899371069183,8878.521866459008,2053.0,-5.0,-1055.898113207547,4050.8980735699033,-839439.0,-1579.0,-54.58238993710692,6855.197022575594,-43393.0,-400.0,1
33,127.49937106918239,8330.378831240327,101362.0,-517.0,-976.5232704402516,3589.423221546141,-776336.0,-1657.0,0.013836477987421384,6650.890396522779,11.0,304.0,1
34,51.41761006289308,7971.216960282858,40877.0,-222.0,-993.6213836477988,3792.0369723000167,-789929.0,-1530.0,-37.35094339622641,6363.2685073857,-29694.0,368.0,1
35,86.52075471698113,8082.955753675664,68784.0,269.0,-996.9924528301887,4134.056117460275,-792609.0,-1009.0,-9.542138364779873,6633.20564186939,-7586.0,298.0,1
36,48.82641509433962,8101.898591127481,38817.0,-201.0,-1014.0100628930818,4343.41010206958,-806138.0,-706.0,-16.09433962264151,6914.74692378948,-12795.0,341.0,1
37,-5.90691823899371,8214.660988596652,-4696.0,171.0,-1087.9106918238995,4222.570744047701,-864889.0,-962.0,1.940880503144654,7104.9717509742995,1543.0,402.0,1
38,-84.0880503144654,8215.85018971527,-66850.0,841.0,-1065.143396226415,3998.2346204502924,-846789.0,-907.0,-11.319496855345912,7014.674291740406,-8999.0,548.0,1
39,-169.3811320754717,8217.647170850096,-134658.0,618.0,-1010.9345911949686,3967.650392934409,-803693.0,-860.0,-12.578616352201259,7201.788304873113,-10000.0,361.0,1
40,-179.73836477987422,8161.282860953821,-142892.0,618.0,-1004.611320754717,3727.6436579192805,-798666.0,-853.0,-34.00251572327044,7084.28921417095,-27032.0,441.0,1
41,-250.18867924528303,7977.6337308881375,-198900.0,841.0,-919.566037735849,3467.602810805335,-731055.0,-739.0,9.827672955974842,6976.396851849651,7813.0,829.0,1
42,-245.94591194968552,7506.8428924839,-195527.0,-89.0,-972.7937106918239,2752.694714574802,-773371.0,-511.0,16.99622641509434,6930.3764976536495,13512.0,1637.0,1
43,-222.96981132075473,6824.208294774778,-177261.0,29.0,-1016.6490566037736,2350.4886782449457,-808236.0,-517.0,-72.65408805031447,6685.189228624094,-57760.0,2096.0,1
44,-106.75471698113208,5477.543890237977,-84870.0,1009.0,-1022.0867924528302,2132.59992782409,-812559.0,-1220.0,-15.99874213836478,5503.194936586744,-12719.0,1085.0,1
45,-79.55345911949685,3382.177210127044,-63245.0,193.0,-1008.8100628930817,2108.037148640826,-802004.0,-829.0,0.9886792452830189,3391.481209528074,786.0,-109.0,1
46,-17.172327044025156,1849.1035105380456,-13652.0,-216.0,-1004.6201257861635,1695.0822904457636,-798673.0,-804.0,1.139622641509434,1634.8687887874962,906.0,80.0,1
47,-5.581132075471698,1343.5894645559406,-4437.0,-39.0,-991.7974842767295,1056.3870478929016,-788479.0,-970.0,3.1924528301886794,1099.7060206859344,2538.0,27.0,1
48,0.30062893081761005,697.2842887099349,239.0,-17.0,-991.8389937106919,606.8257620853552,-788512.0,-1048.0,5.333333333333333,688.26013683271,4240.0,37.0,1
49,2.50314465408805,502.6716541308779,1990.0,-23.0,-992.0540880503145,604.4106093776226,-788683.0,-993.0,5.344654088050315,672.4720247988033,4249.0,0.0,1
50,-185.08427672955975,7522.833913316638,-147142.0,132.0,-971.9106918238994,4574.364464351228,-772669.0,-981.0,10.271698113207547,5005.822769650374,8166.0,-29.0,1
51,-162.62641509433962,8862.178394121041,-129288.0,-212.0,-1084.4188679245283,5380.41953776974,-862113.0,-612.0,-8.183647798742138,5740.204879569195,-6506.0,122.0,1
52,-217.8427672955975,9027.334871421814,-173185.0,-536.0,-718.2440251572327,5327.739153665006,-571004.0,-425.0,21.80503144654088,5824.685859442012,17335.0,-333.0,1
53,-281.6301886792453,9135.183277330703,-223896.0,173.0,-512.485534591195,5255.291215904144,-407426.0,74.0,4.8528301886792455,5944.801628756498,3858.0,-538.0,1
54,-343.0012578616352,9198.405608954728,-272686.0,394.0,-487.01006289308174,5208.873198193715,-387173.0,-78.0,-15.89056603773585,6225.495941467496,-12633.0,-689.0,1
55,-391.49056603773585,9330.7429235101,-311235.0,753.0,-458.8691823899371,5279.38212341477,-364801.0,148.0,-5.077987421383648,6454.379458781497,-4037.0,-960.0,1
56,-368.8314465408805,9283.535933711417,-293221.0,761.0,-472.6616352201258,5113.4930769814655,-375766.0,325.0,6.555974842767296,6393.9367871137065,5212.0,-1212.0,1
57,-305.3232704402516,9103.92588039176,-242732.0,942.0,-502.8578616352201,5108.849159219756,-399772.0,95.0,-1.940880503144654,6383.83909234513,-1543.0,-1719.0,1
58,-193.16477987421385,9159.228742528048,-153566.0,1547.0,-436.50943396226415,5100.38157048896,-347025.0,138.0,39.672955974842765,6416.214393808515,31540.0,-1649.0,1
59,-180.65660377358492,9184.179937396952,-143622.0,862.0,-439.114465408805,5156.231419272975,-349096.0,175.0,-4.139622641509434,6506.984651997989,-3291.0,-1735.0,1
60,-112.43018867924528,8859.062007685376,-89382.0,1235.0,-435.4754716981132,5024.463950789727,-346203.0,138.0,17.549685534591195,6363.230443221099,13952.0,-1657.0,1
61,-423.36729559748426,7034.688002543939,-336577.0,-1733.0,-1024.97106918239,3330.5116225480574,-814852.0,-581.0,13.849056603773585,5852.024208974763,11010.0,128.0,1
62,-603.3308176100629,6579.228857563413,-479648.0,-1817.0,-1072.3849056603774,3431.7636358975246,-852546.0,-970.0,-14.40880503144654,5708.738150388024,-11455.0,1089.0,1
63,-456.8553459119497,6283.566288960769,-363200.0,-1520.0,-1040.3899371069183,3550.454400463786,-827110.0,-1020.0,-20.376100628930818,5375.888289617891,-16199.0,1255.0,1
64,-67.72452830188679,6261.003712022081,-53841.0,-1145.0,-1036.4553459119497,3093.99120771319,-823982.0,-882.0,-10.242767295597485,4956.4052630072665,-8143.0,1442.0,1
65,-65.9119496855346,6173.243153116671,-52400.0,-1534.0,-1001.7924528301887,2940.497697030249,-796425.0,-954.0,-26.772327044025158,5183.99718079764,-21284.0,1737.0,1
66,-73.34213836477987,6215.714640519278,-58307.0,-1776.0,-1017.0415094339622,3609.957102117866,-808548.0,-1165.0,-48.12075471698113,5782.315260673101,-38256.0,1711.0,1
67,-80.70440251572327,5963.873270984298,-64160.0,-2006.0,-1029.6893081761007,4027.347492646099,-818603.0,-989.0,-22.80880503144654,6046.634418384736,-18133.0,1460.0,1
68,-187.04654088050316,5943.143960702088,-148702.0,-2014.0,-945.6037735849056,4035.1008355908834,-751755.0,-989.0,-32.4062893081761,5742.177061468069,-25763.0,1389.0,1
69,-387.13962264150945,5779.951780618452,-307776.0,-2055.0,-937.680503144654,3932.3046803756865,-745456.0,-1177.0,-43.30943396226415,5766.039680039278,-34431.0,1243.0,1
70,-423.0176100628931,5875.015450513309,-336299.0,-1827.0,-961.2867924528302,3965.382296696792,-764223.0,-995.0,-18.39245283018868,5816.666344840262,-14622.0,1313.0,1
71,-522.0981132075472,5922.83814829646,-415068.0,-2553.0,-973.6867924528302,3968.616750596169,-774081.0,-997.0,-44.567295597484275,5930.711416493816,-35431.0,1091.0,1
72,-693.7106918238994,5716.063673210381,-551500.0,-2726.0,-1077.3270440251572,3683.5713828025932,-856475.0,-589.0,-8.767295597484276,6199.463642391745,-6970.0,704.0,1
73,-690.2088050314466,5437.788278508746,-548716.0,-3320.0,-1102.7169811320755,3096.197266893265,-876660.0,-601.0,31.37861635220126,6074.4591923804055,24946.0,-62.0,1
74,-390.1069182389937,5535.208791239,-310135.0,-2576.0,-1045.9295597484277,2556.3242975857715,-831514.0,-1124.0,-10.038993710691823,5916.734354813448,-7981.0,-247.0,1
75,-84.85283018867925,5216.975288752316,-67458.0,-2149.0,-991.2993710691824,1992.4159147293033,-788083.0,-1423.0,7.017610062893082,5241.286790362941,5579.0,-505.0,1
76,-64.05283018867925,3563.4599267563544,-50922.0,-1251.0,-1001.7459119496855,1596.065344912923,-796388.0,-1276.0,15.90566037735849,3373.2278138358706,12645.0,-525.0,1
77,-33.22012578616352,2354.4678350948448,-26410.0,-726.0,-995.103144654088,1433.864985064187,-791107.0,-1292.0,14.462893081761006,2174.4662623306644,11498.0,-286.0,1
78,-30.246540880503144,1624.0470523694219,-24046.0,-421.0,-989.6905660377358,1548.2031137612425,-786804.0,-1321.0,10.875471698113207,1612.8098002329907,8646.0,-140.0,1
79,-35.049056603773586,3205.0571066338853,-27864.0,37.0,-1002.3044025157233,2245.835381236869,-796832.0,-1155.0,11.826415094339623,2772.6434235604843,9402.0,-464.0,1
80,-287.09811320754716,7318.024433892443,-228243.0,823.0,-824.7446540880503,4525.109325698931,-655672.0,-542.0,-20.81132075471698,5647.410243024699,-16545.0,-536.0,1
81,-264.23899371069183,8563.735188048593,-210070.0,1647.0,-981.4289308176101,4237.427344173212,-780236.0,-870.0,-53.68050314465409,6597.8771287135805,-42676.0,-1534.0,1
82,-75.06163522012578,8202.031328078165,-59674.0,1741.0,-1012.1157232704403,3158.1239631211633,-804632.0,-915.0,-25.61509433962264,6552.187705317703,-20364.0,-1321.0,1
83,19.51446540880503,7390.627471084726,15514.0,1104.0,-967.4779874213837,2986.80117388965,-769145.0,-1368.0,14.984905660377358,5897.341592079956,11913.0,-445.0,1
84,-3.318238993710692,6874.670871213637,-2638.0,1198.0,-989.125786163522,3351.2484179733674,-786355.0,-1387.0,6.625157232704402,5266.978160190193,5267.0,-325.0,1
85,-97.48427672955975,6644.769571295072,-77500.0,1346.0,-973.8503144654088,3756.8716652693975,-774211.0,-1342.0,8.553459119496855,4906.803290800135,6800.0,-456.0,1
86,-55.18616352201258,6582.611680945922,-43873.0,1225.0,-1029.5522012578617,4044.513542653164,-818494.0,-1452.0,22.763522012578616,4907.961509452234,18097.0,-341.0,1
87,-134.71823899371068,6602.775312305642,-107101.0,1136.0,-1048.8867924528302,3919.119833493712,-833865.0,-1206.0,1.6930817610062894,5071.403437916944,1346.0,-300.0,1
88,-99.31320754716981,6733.707244390929,-78954.0,1569.0,-1067.3396226415093,3553.8161208103247,-848535.0,-1260.0,20.09685534591195,5369.678247862664,15977.0,-103.0,1
89,-74.32955974842767,6603.613165408529,-59092.0,1387.0,-1092.4830188679246,3580.706275497383,-868524.0,-1192.0,33.15597484276729,5339.556441386733,26359.0,74.0,1
90,-82.35723270440252,6513.558388645921,-65474.0,1622.0,-1051.2830188679245,3683.0690242556793,-835770.0,-1245.0,22.820125786163523,5194.563925578779,18142.0,132.0,1
91,-131.24276729559747,6499.341053805765,-104338.0,1227.0,-922.1169811320755,3250.9880300359023,-733083.0,-1007.0,5.39874213836478,5121.878239818364,4292.0,380.0,1
92,-136.1433962264151,6380.918233754449,-108234.0,409.0,-978.2062893081761,2535.9717398267057,-777674.0,-761.0,12.89308176100629,5172.202143671732,10250.0,1221.0,1
93,-111.03018867924528,5846.8381742927595,-88269.0,394.0,-992.8138364779874,2236.238369088845,-789287.0,-905.0,15.662893081761005,4574.4355690494285,12452.0,1458.0,1
94,-84.88050314465409,4864.552139554895,-67480.0,601.0,-1033.2440251572327,2033.2425489338111,-821429.0,-1223.0,-14.256603773584906,4010.0610141360994,-11334.0,700.0,1
95,-55.28176100628931,3455.137224176646,-43949.0,589.0,-1010.0905660377358,1911.9730750317601,-803022.0,-1089.0,5.417610062893082,3080.493042040065,4307.0,175.0,1
96,-19.050314465408807,1874.2740391382697,-15145.0,-40.0,-999.2301886792453,1713.8338240382207,-794388.0,-964.0,3.422641509433962,2092.092652101694,2721.0,80.0,1
97,-2.2968553459119496,1192.4003350893026,-1826.0,27.0,-995.7924528301887,1123.4828576480882,-791655.0,-946.0,5.779874213836478,1256.0137056631136,4595.0,-52.0,1
98,-1.5308176100628932,729.7848463129533,-1217.0,-58.0,-992.0767295597484,668.5495431052722,-788701.0,-1009.0,5.1257861635220126,679.2887833318263,4075.0,-25.0,1
99,0.8138364779874214,647.1511493737507,647.0,-54.0,-991.6201257861635,566.3522851807478,-788338.0,-1020.0,4.142138364779874,649.3779516612294,3293.0,-25.0,1
100,-267.63647798742136,7745.031389322421,-212771.0,-15.0,-1081.6377358490565,4587.893774020671,-859902.0,-1149.0,-21.412578616352203,5804.964385308754,-17023.0,52.0,1
101,-304.7396226415094,9184.14898305496,-242268.0,-946.0,-1117.0830188679245,5406.226639648516,-888081.0,-1177.0,20.339622641509433,6805.477027894989,16170.0,677.0,1
102,-137.15471698113208,9457.923356721836,-109038.0,171.0,-876.0767295597484,5256.34527718133,-696481.0,-425.0,11.10314465408805,6458.47799617922,8827.0,675.0,1
103,-274.3622641509434,9592.031798963522,-218118.0,27.0,-711.8930817610063,5159.160092870637,-565955.0,-327.0,-47.32955974842767,6515.28750007503,-37627.0,-392.0,1
104,-263.05283018867925,9338.956853447582,-209127.0,-33.0,-572.2176100628931,5142.775940530618,-454913.0,-238.0,-8.945911949685534,6428.806026611884,-7112.0,-628.0,1
105,-103.37610062893081,9193.748434822623,-82184.0,786.0,-627.5949685534591,5175.252526429722,-498938.0,-48.0,5.476729559748428,6498.749676521246,4354.0,-1264.0,1
106,-195.74716981132076,9344.469188958885,-155619.0,569.0,-543.2100628930817,5013.829649384513,-431852.0,-48.0,-2.620125786163522,6440.53686699415,-2083.0,-730.0,1
107,-236.3132075471698,9487.204520211768,-187869.0,778.0,-573.651572327044,5125.097486384429,-456053.0,-238.0,8.457861635220127,6630.250720470167,6724.0,-810.0,1
108,-123.38490566037736,9391.874327076066,-98091.0,1288.0,-599.3949685534591,5054.569034886963,-476519.0,-345.0,10.666666666666666,6623.907979260899,8480.0,-1532.0,1
109,-99.12578616352201,9310.318223208447,-78805.0,1196.0,-607.377358490566,5063.61417018261,-482865.0,-425.0,-13.340880503144653,6618.034306072261,-10606.0,-1512.0,1
110,-79.01383647798743,8823.198010903236,-62816.0,1639.0,-576.1207547169811,4954.8169754249375,-458016.0,-103.0,12.225157232704403,6336.20309418438,9719.0,-1458.0,1
111,-449.5245283018868,6638.653070068134,-357372.0,-2045.0,-1017.7320754716981,3396.9442394836724,-809097.0,-757.0,-4.60125786163522,5804.167399789939,-3658.0,579.0,1
112,-598.5647798742139,6821.329118938913,-475859.0,-1547.0,-1136.0415094339623,3229.1767535753556,-903153.0,-1018.0,-17.9748427672956,5994.563562441574,-14290.0,1411.0,1
113,-458.9056603773585,6703.026105776109,-364830.0,-968.0,-985.7584905660377,3503.39652496276,-783678.0,-936.0,-12.09811320754717,5622.180139800459,-9618.0,1768.0,1
114,-87.55849056603773,6504.743905187838,-69609.0,-794.0,-1058.1056603773584,3118.1003568149363,-841194.0,-1007.0,-6.813836477987421,5059.248622348008,-5417.0,1911.0,1
115,-83.5685534591195,6237.089685450253,-66437.0,-817.0,-1009.5169811320754,2957.2575283219876,-802566.0,-849.0,-21.81761006289308,5059.60424032425,-17345.0,1397.0,1
116,-100.35220125786164,6133.190650952943,-79780.0,-1259.0,-1029.6704402515722,3602.42609260961,-818588.0,-1091.0,-56.049056603773586,5394.056316488489,-44559.0,1668.0,1
117,-108.39748427672956,6264.984553565701,-86176.0,-1508.0,-1028.0465408805032,4035.772865419573,-817297.0,-1005.0,-57.87295597484277,6019.2688943826315,-46009.0,1803.0,1
118,-270.24528301886795,6098.177837559432,-214845.0,-2032.0,-941.4440251572327,3974.3964838583597,-748448.0,-927.0,-9.51194968553459,6332.117678391096,-7562.0,1411.0,1
119,-350.51823899371067,5893.827154281077,-278662.0,-2549.0,-1026.7257861635221,3800.0018955022088,-816247.0,-1251.0,-37.85911949685534,6262.257159021787,-30098.0,804.0,1
120,-384.41761006289306,5738.18277096849,-305612.0,-2424.0,-1023.3911949685535,3726.2253879071895,-813596.0,-989.0,-29.150943396226417,6165.881024919265,-23175.0,913.0,1
121,-418.3194968553459,5739.451249983905,-332564.0,-2572.0,-1014.0465408805031,3676.744631427777,-806167.0,-993.0,1.3459119496855345,6228.355233866887,1070.0,987.0,1
122,-515.8666666666667,5496.333731313826,-410114.0,-2662.0,-1063.8817610062893,3478.704918201067,-845786.0,-802.0,-31.079245283018867,6332.762477344933,-24708.0,870.0,1
123,-631.1723270440251,5199.863879902081,-501782.0,-2742.0,-1102.0666666666666,3072.899591358727,-876143.0,-669.0,-7.018867924528302,6236.403265591419,-5580.0,-152.0,1
124,-355.685534591195,5198.4588565122785,-282770.0,-1916.0,-1012.7635220125786,2754.269355847733,-805147.0,-1034.0,18.08930817610063,5834.841722383168,14381.0,-199.0,1
125,-117.28553459119497,5103.023581937787,-93242.0,-1561.0,-991.5559748427673,2293.6275900278424,-788287.0,-1227.0,28.984905660377358,5181.301349548668,23043.0,-146.0,1
126,-55.75471698113208,3926.192813211177,-44325.0,-370.0,-1002.1396226415094,1646.3241963763287,-796701.0,-1243.0,8.425157232704402,3806.8712072098256,6698.0,-310.0,1
127,-39.119496855345915,2197.604030672257,-31100.0,-476.0,-998.5559748427673,1528.7921864807968,-793852.0,-1260.0,8.613836477987421,2228.547473551731,6848.0,35.0,1
128,-23.418867924528303,1597.960223524344,-18618.0,1.0,-993.3094339622642,1495.9425357870145,-789681.0,-1387.0,10.766037735849057,2260.3498588129096,8559.0,46.0,1
129,-56.474213836477986,3433.2034706390164,-44897.0,415.0,-1004.3132075471698,2301.8058645440806,-798429.0,-1155.0,13.079245283018867,3091.4496196184773,10398.0,-417.0,1
130,-242.537106918239,7088.943642164363,-192817.0,413.0,-841.3270440251572,4592.660386080681,-668855.0,-519.0,-28.90566037735849,5343.050944250116,-22980.0,-1091.0,1
131,-279.1044025157233,8215.74821522287,-221888.0,386.0,-1009.4943396226415,4177.823709241079,-802548.0,-876.0,-13.065408805031447,6156.868070008042,-10387.0,-1948.0,1
132,-132.71572327044026,7950.970734561645,-105509.0,87.0,-1007.343396226415,3554.50623871644,-800838.0,-1251.0,-23.62767295597484,6032.0149320765895,-18784.0,-1409.0,1
133,122.11823899371069,6840.138028981824,97084.0,1313.0,-982.4981132075471,3334.681598543019,-781086.0,-1483.0,17.855345911949687,5134.568393483642,14195.0,-1233.0,1
134,71.13207547169812,6098.910444372723,56550.0,780.0,-991.5396226415095,3428.30683906035,-788274.0,-1485.0,24.344654088050316,4626.058593477075,19354.0,-915.0,1
135,-51.685534591194966,5809.195691192441,-41090.0,956.0,-1003.8490566037735,3755.291739696832,-798060.0,-1327.0,17.167295597484276,4404.893738193114,13648.0,-1149.0,1
136,-83.49685534591195,6145.329701241003,-66380.0,630.0,-1019.7245283018868,4045.4333641923367,-810681.0,-1030.0,22.67924528301887,4676.047135412983,18030.0,-583.0,1
137,-169.1622641509434,6548.200722938639,-134484.0,489.0,-1118.7194968553458,4106.617468281003,-889382.0,-911.0,8.00251572327044,5139.805479808622,6362.0,-540.0,1
138,-110.1559748427673,6419.445899432595,-87574.0,1333.0,-1114.7610062893082,3689.436459154027,-886235.0,-1083.0,35.41132075471698,5110.865462812036,28152.0,-154.0,1
139,-135.28176100628932,6260.973149957648,-107549.0,1136.0,-1062.879245283019,3514.577071705301,-844989.0,-1077.0,23.470440251572327,4977.894881468603,18659.0,-234.0,1
140,-123.0,6239.045271049614,-97785.0,780.0,-1054.966037735849,3360.131482839405,-838698.0,-966.0,33.69937106918239,4883.082512111358,26791.0,343.0,1
141,-154.62389937106917,6371.288932835722,-122926.0,212.0,-960.2704402515724,3022.6194769333288,-763415.0,-923.0,15.476729559748428,4933.288525973638,12304.0,813.0,1
142,-268.01509433962264,6269.9331576006,-213072.0,54.0,-951.0830188679246,2505.7571595670147,-756111.0,-515.0,17.442767295597484,4905.858450229178,13867.0,1491.0,1
143,-127.61761006289308,5924.7608809057565,-101456.0,-464.0,-1005.6138364779874,2173.8940395691566,-799463.0,-905.0,-10.59874213836478,4694.731336151006,-8426.0,1545.0,1
144,-75.84025157232705,4917.120359326248,-60293.0,298.0,-1016.6817610062893,2003.6578535424621,-808262.0,-1141.0,16.456603773584906,3999.8576708388387,13083.0,911.0,1
145,-39.976100628930816,2997.9636902139423,-31781.0,534.0,-998.1295597484277,1928.5743176788028,-793513.0,-972.0,-3.759748427672956,2965.1268744782383,-2989.0,132.0,1
146,-19.763522012578616,1549.005757153726,-15712.0,-97.0,-996.3522012578617,1712.4404387162463,-792100.0,-1089.0,2.362264150943396,2004.8173380075611,1878.0,74.0,1
147,-3.1735849056603773,1115.2790447525158,-2523.0,-42.0,-994.6490566037736,1273.796086460706,-790746.0,-950.0,6.109433962264151,1142.391717238959,4857.0,-29.0,1
148,1.7522012578616353,777.3535662630771,1393.0,-42.0,-992.7459119496855,633.6040296118069,-789233.0,-1003.0,4.6213836477987424,677.217321879394,3674.0,3.0,1
149,1.2062893081761006,660.4282235787911,959.0,-115.0,-990.7647798742138,501.63625342264174,-787658.0,-1050.0,1.1371069182389937,641.4564622924992,904.0,5.0,1
150,-326.37735849056605,7832.3802397573645,-259470.0,-70.0,-1081.3245283018869,4364.14853275634,-859653.0,-1059.0,-11.169811320754716,5091.416242337675,-8880.0,-324.0,1
151,-410.5924528301887,9640.300993056118,-326421.0,-722.0,-1137.5522012578617,5551.0183884896005,-904354.0,-841.0,19.42012578616352,6545.57561068247,15439.0,277.0,1
152,-306.8062893081761,10042.269875862634,-243911.0,-275.0,-820.0150943396227,5322.292236400208,-651912.0,-464.0,-15.460377358490566,5905.701708680919,-12291.0,273.0,1
153,-312.1610062893082,10343.696072976762,-248168.0,519.0,-637.6251572327044,5198.375816913888,-506912.0,-48.0,-9.542138364779873,5920.676694481576,-7586.0,-150.0,1
154,-247.32830188679245,10697.769879022704,-196626.0,1307.0,-576.0893081761006,5089.918994057707,-457991.0,-238.0,13.227672955974842,5968.42774800134,10516.0,-158.0,1
155,-166.25911949685533,10776.760604150511,-132176.0,1342.0,-546.377358490566,5167.179610722035,-434370.0,-238.0,16.69685534591195,6020.094376100456,13274.0,-671.0,1
156,-21.58616352201258,10564.62410939718,-17161.0,1059.0,-528.4289308176101,5156.631469697569,-420101.0,-238.0,15.928301886792452,5804.802832402191,12663.0,-1097.0,1
